City,State,Lat,Lng
San Juan del Rio,Querétaro,20.3833,-99.9833
Oaxaca,Oaxaca,17.0606,-96.7253
Ciudad General Escobedo,Nuevo León,25.7933,-100.1583
Los Mochis,Sinaloa,25.7835,-108.9937
Pachuca,Hidalgo,20.1,-98.75
Tampico,Tamaulipas,22.2553,-97.8686
Coacalco,México,19.6333,-99.0931
Huixquilucan,México,19.3611,-99.3508
Nogales,Sonora,31.3,-110.9333
Heroica Nogales,Sonora,31.3186,-110.9458
La Paz,Baja California Sur,24.1422,-110.3108
Campeche,Campeche,19.85,-90.5306
Carmen,Campeche,18.6431,-91.8306
Monclova,Coahuila,26.9103,-101.4222
Garcia,Nuevo León,25.8167,-100.5833
Fresnillo,Zacatecas,23.175,-102.8675
Puerto Vallarta,Jalisco,20.6458,-105.2222
Toluca,México,19.2925,-99.6569
Tapachula,Chiapas,14.9,-92.2667
Jiutepec,Morelos,18.8833,-99.1667
Comalcalco,Tabasco,18.2801,-93.2018
Guadalupe,Zacatecas,22.7528,-102.5078
Zamora,Michoacán,19.9833,-102.2833
Cordoba,Veracruz,18.8942,-96.9347
Ciudad Madero,Tamaulipas,22.25,-97.8333
Cuautla,Morelos,18.8167,-98.95
Guanajuato,Guanajuato,21.0178,-101.2567
Ciudad del Carmen,Campeche,18.6333,-91.8333
Manzanillo,Colima,19.0522,-104.3158
Poza Rica de Hidalgo,Veracruz,20.5333,-97.45
Chilpancingo,Guerrero,17.55,-99.5
San Cristobal,Chiapas,16.7367,-92.6383
Cuauhtemoc,Chihuahua,28.405,-106.8667
Cuautitlan,México,19.6833,-99.1833
Ciudad Valles,San Luis Potosí,21.9833,-99.0167
San Luis Rio Colorado,Sonora,32.4767,-114.7625
Santa Maria Texmelucan,Puebla,19.2833,-98.4333
Chicoloapan,México,19.4167,-98.9
Piedras Negras,Coahuila,28.7,-100.5231
Lagos de Moreno,Jalisco,21.35,-101.9167
Chetumal,Quintana Roo,18.5036,-88.3053
San Martin Texmelucan de Labastida,Puebla,19.2833,-98.4333
Tuxtepec,Oaxaca,18.1,-96.1167
San Andres Tuxtla,Veracruz,18.4483,-95.2122
Papantla de Olarte,Veracruz,20.4478,-97.32
Tulancingo,Hidalgo,20.0833,-98.3667
Ciudad Acuna,Coahuila,29.3242,-100.9317
Macuspana,Tabasco,17.7667,-92.6
Guaymas,Sonora,27.9183,-110.8933
Ixtlahuaca,México,19.5689,-99.7669
Delicias,Chihuahua,28.1931,-105.4717
Valle de Santiago,Guanajuato,20.3928,-101.1914
Penjamo,Guanajuato,20.4311,-101.7222
Villa de Alvarez,Colima,19.25,-103.7333
Pesqueria,Nuevo León,25.785,-100.0511
Colima,Colima,19.2433,-103.7247
Boca del Rio,Veracruz,19.1056,-96.1078
Tepatitlan de Morelos,Jalisco,20.8139,-102.7639
Las Maravillas,Chiapas,16.3667,-91.7333
Iguala de la Independencia,Guerrero,18.345,-99.5383
Kanasin,Yucatán,20.9344,-89.5578
Cunduacan,Tabasco,18.0667,-93.1667
San Jose del Cabo,Baja California Sur,23.0614,-109.7081
Zinacantepec,México,19.2833,-99.7333
Huejutla de Reyes,Hidalgo,21.1333,-98.4167
Cholula de Rivadabia,Puebla,19.0633,-98.3064
Apatzingan de la Constitucion,Michoacán,19.0886,-102.3508
Orizaba,Veracruz,18.85,-97.1
Zacatecas,Zacatecas,22.7736,-102.5736
San Pedro Garza Garcia,Nuevo León,25.6667,-100.3
Ciudad Hidalgo,Michoacán,19.6917,-100.5536
Navojoa,Sonora,27.0813,-109.4461
Chilapa de Alvarez,Guerrero,17.5944,-99.1778
Tizayuca,Hidalgo,19.8333,-98.9833
Miramar,Tamaulipas,22.3375,-97.8694
Matamoros,Coahuila,25.533,-103.25
Heroica Guaymas,Sonora,27.9183,-110.8989
Tecoman,Colima,18.9089,-103.8747
Temixco,Morelos,18.85,-99.2333
El Pueblito,Querétaro,20.5397,-100.4414
Ciudad Guzman,Jalisco,19.7,-103.4667
Tlapacoyan,Veracruz,19.9617,-97.2108
Las Delicias,Chihuahua,28.2,-105.5
Comitan,Chiapas,16.25,-92.1333
Chilon,Chiapas,17.1167,-92.2833
San Antonio Enchisi,México,19.7072,-99.7867
Martinez de la Torre,Veracruz,20.0667,-97.05
Temoaya,México,19.4686,-99.5933
Lerma,México,19.2847,-99.5119
Texcoco,México,19.52,-98.88
Parral,Chihuahua,26.9333,-105.6667
Tenancingo,México,18.9608,-99.5906
